DIM,PROCS,REP,TIME,STATUS
500,12,10,0.660627,0
500,12,6,0.696294,0
500,12,7,0.678380,0
500,12,8,0.616103,0
500,12,9,0.711952,0
500,16,10,0.258015,0
500,16,4,0.292819,0
500,16,5,0.293619,0
500,16,6,0.296598,0
500,16,7,0.266313,0
500,16,8,0.288053,0
500,16,9,0.272663,0
500,20,10,0.391334,0
500,20,4,0.468830,0
500,20,5,0.395688,0
500,20,6,0.403963,0
500,20,7,0.409050,0
500,20,8,0.397110,0
500,20,9,0.397842,0
500,24,10,0.237663,0
500,24,1,0.257889,0
500,24,2,0.242728,0
500,24,3,0.253369,0
500,24,4,0.252587,0
500,24,5,0.241424,0
500,24,6,0.225847,0
500,24,7,0.217919,0
500,24,8,0.242090,0
500,24,9,0.264303,0
500,28,10,0.392316,0
500,28,1,0.312812,0
500,28,2,0.294683,0
500,28,3,0.348552,0
500,28,4,0.368919,0
500,28,5,0.363799,0
500,28,6,0.310234,0
500,28,7,0.319741,0
500,28,8,0.339305,0
500,28,9,0.320223,0
500,32,10,0.187778,0
500,32,1,0.235507,0
500,32,2,0.241643,0
500,32,3,0.207269,0
500,32,4,0.202852,0
500,32,5,0.195640,0
500,32,6,0.187692,0
500,32,7,0.178916,0
500,32,8,0.183320,0
500,32,9,0.189063,0
500,36,10,0.317513,0
500,36,1,0.316464,0
500,36,2,0.285262,0
500,36,3,0.270118,0
500,36,4,0.304412,0
500,36,5,0.348725,0
500,36,6,0.337713,0
500,36,7,0.328991,0
500,36,8,0.272421,0
500,36,9,0.292617,0
500,40,10,0.248822,0
500,40,1,0.308445,0
500,40,2,0.294933,0
500,40,3,0.255062,0
500,40,4,0.304641,0
500,40,5,0.276124,0
500,40,6,0.272658,0
500,40,7,0.249458,0
500,40,8,0.268534,0
500,40,9,0.279350,0
500,4,10,1.024823,0
500,44,10,0.282819,0
500,44,1,0.306882,0
500,44,2,0.293779,0
500,44,3,0.210104,0
500,44,4,0.269074,0
500,44,5,0.293894,0
500,44,6,0.259038,0
500,44,7,0.278556,0
500,44,8,0.318505,0
500,44,9,0.295478,0
500,4,7,1.029075,0
500,48,10,0.203841,0
500,48,1,0.195006,0
500,48,2,0.187696,0
500,48,3,0.185446,0
500,48,4,0.219820,0
500,48,5,0.190405,0
500,48,6,0.185837,0
500,48,7,0.194598,0
500,48,8,0.199140,0
500,48,9,0.199099,0
500,4,8,1.026498,0
500,4,9,1.037383,0
500,52,10,0.218613,0
500,52,1,0.248196,0
500,52,2,0.201748,0
500,52,3,0.218025,0
500,52,4,0.222311,0
500,52,5,0.224788,0
500,52,6,0.299575,0
500,52,7,0.206033,0
500,52,8,0.279854,0
500,52,9,0.209554,0
500,56,10,0.336695,0
500,56,1,1.803033,0
500,56,2,1.056729,0
500,56,3,0.294497,0
500,56,4,0.349754,0
500,56,5,0.448873,0
500,56,6,0.303713,0
500,56,7,0.314880,0
500,56,8,0.483300,0
500,56,9,0.411125,0
500,8,10,0.510615,0
500,8,7,0.511459,0
500,8,8,0.510045,0
500,8,9,0.510018,0
500,60,10,0.201894,0
500,60,1,0.229638,0
500,60,2,0.233993,0
500,60,3,0.264233,0
500,60,4,0.215911,0
500,60,5,0.212327,0
500,60,6,0.181271,0
500,60,7,0.225511,0
500,60,8,0.249589,0
500,60,9,0.192024,0
500,64,10,0.111191,0
500,64,1,0.110085,0
500,64,2,0.113446,0
500,64,3,0.112157,0
500,64,4,0.109008,0
500,64,5,0.133877,0
500,64,6,0.114162,0
500,64,7,0.113635,0
500,64,8,0.111857,0
500,64,9,0.109678,0
500,68,10,0.217290,0
500,68,1,0.208647,0
500,68,2,0.223721,0
500,68,3,0.217697,0
500,68,4,0.235184,0
500,68,5,0.190476,0
500,68,6,0.254660,0
500,68,7,0.182103,0
500,68,8,0.211009,0
500,68,9,0.192672,0
500,72,10,0.105584,0
500,72,1,0.113751,0
500,72,2,0.111204,0
500,72,3,0.109145,0
500,72,4,0.111516,0
500,72,5,0.106536,0
500,72,6,0.107336,0
500,72,7,0.108707,0
500,72,8,0.119240,0
500,72,9,0.109693,0
