DIM,PROCS,REP,TIME,STATUS
500,1,10,2.356582,0
500,1,1,2.372921,0
500,1,2,2.369511,0
500,1,3,2.370625,0
500,1,4,2.378198,0
500,1,5,2.371662,0
500,1,6,2.360243,0
500,1,7,2.384486,0
500,1,8,2.382696,0
500,1,9,2.353606,0
500,4,10,0.594465,0
500,4,1,0.599079,0
500,4,2,0.594825,0
500,4,3,0.596533,0
500,4,4,0.593435,0
500,4,5,0.603929,0
500,4,6,0.592928,0
500,4,7,0.603147,0
500,4,8,0.599577,0
500,4,9,0.602667,0
500,5,10,0.496215,0
500,5,1,0.485994,0
500,5,2,0.490265,0
500,5,3,0.497488,0
500,5,4,0.498830,0
500,5,5,0.495917,0
500,5,6,0.518883,0
500,5,7,0.530562,0
500,5,8,0.524414,0
500,5,9,0.526754,0
500,6,10,0.424867,0
500,6,1,0.403885,0
500,6,2,0.412025,0
500,6,3,0.414301,0
500,6,4,0.414461,0
500,6,5,0.412860,0
500,6,6,0.432154,0
500,6,7,0.430855,0
500,6,8,0.443470,0
500,6,9,0.440361,0


