DIM,PROCS,REP,TIME,STATUS
500,10,10,0.673799,0
500,10,1,0.704367,0
500,10,2,0.624495,0
500,10,3,0.658297,0
500,10,4,0.643708,0
500,10,5,0.658723,0
500,10,6,0.655414,0
500,10,7,0.666187,0
500,10,8,0.662615,0
500,10,9,0.612895,0
500,1,10,2.128682,0
500,1,1,2.157846,0
500,1,2,2.132619,0
500,1,3,2.124288,0
500,1,4,2.117557,0
500,1,5,2.139622,0
500,1,6,2.156157,0
500,1,7,2.138123,0
500,1,8,2.162956,0
500,1,9,2.115810,0
500,2,10,1.759743,0
500,2,1,1.777130,0
500,2,2,1.785762,0
500,2,3,1.768280,0
500,2,4,1.771839,0
500,2,5,1.761908,0
500,2,6,1.784321,0
500,2,7,1.770696,0
500,2,8,1.798793,0
500,2,9,1.764790,0
500,3,10,1.386886,0
500,3,1,1.372212,0
500,3,2,1.374796,0
500,3,3,1.420196,0
500,3,4,1.376660,0
500,3,5,1.380868,0
500,3,6,1.432879,0
500,3,7,1.408035,0
500,3,8,1.410439,0
500,3,9,1.382304,0
500,4,10,0.901613,0
500,4,1,0.887061,0
500,4,2,0.887609,0
500,4,3,0.926095,0
500,4,4,0.916934,0
500,4,5,0.918666,0
500,4,6,0.894518,0
500,4,7,0.888117,0
500,4,8,0.915821,0
500,4,9,0.906412,0
500,5,10,0.852411,0
500,5,1,0.786412,0
500,5,2,0.804855,0
500,5,3,0.853020,0
500,5,4,0.802682,0
500,5,5,0.821208,0
500,5,6,0.859048,0
500,5,7,0.809346,0
500,5,8,0.817727,0
500,5,9,0.831481,0
500,6,10,0.747108,0
500,6,1,0.688520,0
500,6,2,0.741410,0
500,6,3,0.739700,0
500,6,4,0.743776,0
500,6,5,0.741759,0
500,6,6,0.745069,0
500,6,7,0.741918,0
500,6,8,0.743657,0
500,6,9,0.747101,0
500,7,10,0.587861,0
500,7,1,0.573969,0
500,7,2,0.600770,0
500,7,3,0.604932,0
500,7,4,0.601086,0
500,7,5,0.609662,0
500,7,6,0.627351,0
500,7,7,0.603599,0
500,7,8,0.604304,0
500,7,9,0.626797,0
500,8,10,0.446082,0
500,8,1,0.545366,0
500,8,2,0.538388,0
500,8,3,0.545439,0
500,8,4,0.525143,0
500,8,5,0.527851,0
500,8,6,0.534327,0
500,8,7,0.525923,0
500,8,8,0.486427,0
500,8,9,0.456077,0
500,9,10,0.401945,0
500,9,1,0.485891,0
500,9,2,0.485988,0
500,9,3,0.495037,0
500,9,4,0.457595,0
500,9,5,0.496818,0
500,9,6,0.447994,0
500,9,7,0.411677,0
500,9,8,0.405025,0
500,9,9,0.406558,0
500,11,10,0.360491,0
500,11,1,0.392394,0
500,11,2,0.403516,0
500,11,3,0.405980,0
500,11,4,0.382308,0
500,11,5,0.390033,0
500,11,6,0.387512,0
500,11,7,0.361452,0
500,11,8,0.361719,0
500,11,9,0.360512,0
500,12,10,0.366296,0
500,12,1,0.358271,0
500,12,2,0.365707,0
500,12,3,0.379337,0
500,12,4,0.383337,0
500,12,5,0.373016,0
500,12,6,0.378388,0
500,12,7,0.344469,0
500,12,8,0.378693,0
500,12,9,0.375000,0
500,13,10,0.279408,0
500,13,1,0.339355,0
500,13,2,0.328532,0
500,13,3,0.348865,0
500,13,4,0.353774,0
500,13,5,0.339882,0
500,13,6,0.340763,0
500,13,7,0.309821,0
500,13,8,0.309814,0
500,13,9,0.283097,0
500,14,10,0.550731,0
500,14,1,0.527075,0
500,14,2,0.589048,0
500,14,3,0.558224,0
500,14,4,0.586250,0
500,14,5,0.563904,0
500,14,6,0.570050,0
500,14,7,0.542252,0
500,14,8,0.545586,0
500,14,9,0.554275,0
500,15,10,0.246205,0
500,15,1,0.289503,0
500,15,2,0.292661,0
500,15,3,0.275800,0
500,15,4,0.245979,0
500,15,5,0.246361,0
500,15,6,0.248020,0
500,15,7,0.250228,0
500,15,8,0.248823,0
500,15,9,0.244793,0
500,16,10,0.259228,0
500,16,1,0.275310,0
500,16,2,0.271494,0
500,16,3,0.274113,0
500,16,4,0.281715,0
500,16,5,0.280705,0
500,16,6,0.277682,0
500,16,7,0.258565,0
500,16,8,0.259672,0
500,16,9,0.242407,0
500,17,10,0.220837,0
500,17,1,0.258427,0
500,17,2,0.252140,0
500,17,3,0.266421,0
500,17,4,0.244637,0
500,17,5,0.239317,0
500,17,6,0.217514,0
500,17,7,0.219720,0
500,17,8,0.219825,0
500,17,9,0.219365,0
500,18,10,0.462372,0
500,18,1,0.406067,0
500,18,2,0.412406,0
500,18,3,0.463658,0
500,18,4,0.410961,0
500,18,5,0.348244,0
500,18,6,0.405660,0
500,18,7,0.387382,0
500,18,8,0.365540,0
500,18,9,0.339907,0
500,19,10,0.219336,0
500,19,1,0.214617,0
500,19,2,0.232792,0
500,19,3,0.218747,0
500,19,4,0.219278,0
500,19,5,0.219026,0
500,19,6,0.221289,0
500,19,7,0.219702,0
500,19,8,0.221130,0
500,19,9,0.219290,0
500,20,10,0.235633,0
500,20,1,0.231560,0
500,20,2,0.230132,0
500,20,3,0.228566,0
500,20,4,0.228994,0
500,20,5,0.214664,0
500,20,6,0.206910,0
500,20,7,0.189244,0
500,20,8,0.192472,0
500,20,9,0.236034,0
500,21,10,0.230773,0
500,21,1,0.224481,0
500,21,2,0.229891,0
500,21,3,0.232638,0
500,21,4,0.229878,0
500,21,5,0.224819,0
500,21,6,0.230314,0
500,21,7,0.224021,0
500,21,8,0.230410,0
500,21,9,0.230455,0
500,22,10,0.378757,0
500,22,1,0.387643,0
500,22,2,0.423326,0
500,22,3,0.408135,0
500,22,4,0.413247,0
500,22,5,0.411491,0
500,22,6,0.459556,0
500,22,7,0.424580,0
500,22,8,0.406792,0
500,22,9,0.414806,0
500,23,10,0.198802,0
500,23,1,0.210843,0
500,23,2,0.205926,0
500,23,3,0.210626,0
500,23,4,0.210447,0
500,23,5,0.211191,0
500,23,6,0.211765,0
500,23,7,0.212404,0
500,23,8,0.198760,0
500,23,9,0.198426,0
500,24,10,0.182267,0
500,24,1,0.203920,0
500,24,2,0.205611,0
500,24,3,0.205288,0
500,24,4,0.209496,0
500,24,5,0.205270,0
500,24,6,0.205801,0
500,24,7,0.207103,0
500,24,8,0.189356,0
500,24,9,0.179028,0
500,25,10,0.339672,0
500,25,1,0.374606,0
500,25,2,0.345871,0
500,25,3,0.373976,0
500,25,4,0.300193,0
500,25,5,0.316186,0
500,25,6,0.338942,0
500,25,7,0.307961,0
500,25,8,0.276033,0
500,25,9,0.280569,0
500,26,10,0.295609,0
500,26,1,0.274245,0
500,26,2,0.265066,0
500,26,3,0.289758,0
500,26,4,0.303947,0
500,26,5,0.249775,0
500,26,6,0.277032,0
500,26,7,0.290816,0
500,26,8,0.271307,0
500,26,9,0.330077,0
500,27,10,0.141696,0
500,27,1,0.163338,0
500,27,2,0.165818,0
500,27,3,0.163271,0
500,27,4,0.164625,0
500,27,5,0.164713,0
500,27,6,0.164737,0
500,27,7,0.164767,0
500,27,8,0.145016,0
500,27,9,0.146366,0
500,28,10,0.413523,0
500,28,1,0.397860,0
500,28,2,0.408187,0
500,28,3,0.487679,0
500,28,4,0.377026,0
500,28,5,0.430991,0
500,28,6,0.423950,0
500,28,7,0.375504,0
500,28,8,0.393716,0
500,28,9,0.379264,0
500,29,10,0.156393,0
500,29,1,0.174043,0
500,29,2,0.176198,0
500,29,3,0.162721,0
500,29,4,0.170603,0
500,29,5,0.175503,0
500,29,6,0.160021,0
500,29,7,0.159593,0
500,29,8,0.159953,0
500,29,9,0.156201,0
500,30,10,0.331068,0
500,30,1,0.303886,0
500,30,2,0.278232,0
500,30,3,0.284695,0
500,30,4,0.281051,0
500,30,5,0.292172,0
500,30,6,0.271472,0
500,30,7,0.291717,0
500,30,8,0.246508,0
500,30,9,0.263670,0
500,31,10,0.208018,0
500,31,1,0.195889,0
500,31,2,0.167614,0
500,31,3,0.159994,0
500,31,4,0.159508,0
500,31,5,0.165112,0
500,31,6,0.149789,0
500,31,7,0.158421,0
500,31,8,0.161870,0
500,31,9,0.159756,0
500,32,10,0.186518,0
500,32,1,0.168565,0
500,32,2,0.189137,0
500,32,3,0.217667,0
500,32,4,0.611979,0
500,32,5,0.150109,0
500,32,6,0.145570,0
500,32,7,0.147614,0
500,32,8,0.160935,0
500,32,9,0.212052,0
500,33,10,0.187534,0
500,33,1,0.226271,0
500,33,2,0.221395,0
500,33,3,0.203148,0
500,33,4,0.175152,0
500,33,5,0.286786,0
500,33,6,0.201487,0
500,33,7,0.222206,0
500,33,8,0.197674,0
