1 gpu

Image,BlockSize,Time_ms,GPU_Used_Mem[MB],PSNR,PSNR_Filtered
resized_pexels-christian-heitz_4K,8,14.0502,287,361.202,24.109
resized_pexels-christian-heitz_4K,16,10.0261,287,361.202,24.109
resized_pexels-christian-heitz_4K,24,9.28355,287,361.202,24.109
resized_pexels-christian-heitz_4K,32,9.28502,287,361.202,24.109
resized_pexels-christian-heitz_8K,8,33.7841,335,361.202,25.5588
resized_pexels-christian-heitz_8K,16,32.3833,335,361.202,25.5588
resized_pexels-christian-heitz_8K,24,32.6401,335,361.202,25.5588
resized_pexels-christian-heitz_8K,32,33.1669,335,361.202,25.5588
resized_pexels-christian-heitz_16K,8,126.333,527,361.202,26.2738
resized_pexels-christian-heitz_16K,16,124.559,527,361.202,26.2738
resized_pexels-christian-heitz_16K,24,125.698,527,361.202,26.2738
resized_pexels-christian-heitz_16K,32,118.705,527,361.202,26.2738

Image,BlockSize,Time_ms,GPU_Used_Mem[MB],PSNR,PSNR_Filtered
image_4K_noise50,8,13.4778,287,26.3601,23.5988
image_4K_noise50,16,9.40445,287,26.3601,23.5988
image_4K_noise50,24,8.78307,287,26.3601,23.5988
image_4K_noise50,32,9.32413,287,26.3601,23.5988
image_4K_noise75,8,9.36006,287,21.2626,22.5861
image_4K_noise75,16,8.68032,287,21.2626,22.5861
image_4K_noise75,24,8.70554,287,21.2626,22.5861
image_4K_noise75,32,8.74883,287,21.2626,22.5861
image_4K_noise90,8,8.72899,287,18.9769,21.71
image_4K_noise90,16,9.25069,287,18.9769,21.71
image_4K_noise90,24,9.42064,287,18.9769,21.71
image_4K_noise90,32,10.2035,287,18.9769,21.71

2 gpu

Image,BlockSize,Time_ms,GPU_Used_Mem[MB],PSNR,PSNR_Filtered
resized_pexels-christian-heitz_4K,8,14.3364,287,361.202,24.109
resized_pexels-christian-heitz_4K,16,10.0215,287,361.202,24.109
resized_pexels-christian-heitz_4K,24,9.19891,287,361.202,24.109
resized_pexels-christian-heitz_4K,32,9.42624,287,361.202,24.109
resized_pexels-christian-heitz_8K,8,32.746,335,361.202,25.5588
resized_pexels-christian-heitz_8K,16,32.538,335,361.202,25.5588
resized_pexels-christian-heitz_8K,24,33.2349,335,361.202,25.5588
resized_pexels-christian-heitz_8K,32,32.5473,335,361.202,25.5588
resized_pexels-christian-heitz_16K,8,125.906,527,361.202,26.2738
resized_pexels-christian-heitz_16K,16,123.884,527,361.202,26.2738
resized_pexels-christian-heitz_16K,24,124.687,527,361.202,26.2738
resized_pexels-christian-heitz_16K,32,127.37,527,361.202,26.2738

Image,BlockSize,Time_ms,GPU_Used_Mem[MB],PSNR,PSNR_Filtered
image_4K_noise50,8,13.787,287,26.3601,23.5988
image_4K_noise50,16,10.0793,287,26.3601,23.5988
image_4K_noise50,24,9.23907,287,26.3601,23.5988
image_4K_noise50,32,10.547,287,26.3601,23.5988
image_4K_noise75,8,9.06304,287,21.2626,22.5861
image_4K_noise75,16,9.37197,287,21.2626,22.5861
image_4K_noise75,24,9.03104,287,21.2626,22.5861
image_4K_noise75,32,9.40042,287,21.2626,22.5861
image_4K_noise90,8,9.36416,287,18.9769,21.71
image_4K_noise90,16,9.27078,287,18.9769,21.71
image_4K_noise90,24,10.7347,287,18.9769,21.71
image_4K_noise90,32,9.51034,287,18.9769,21.71

3 gpu
resized_pexels-christian-heitz_4K,8,14.4354,287,361.202,24.109
resized_pexels-christian-heitz_4K,16,9.51229,287,361.202,24.109
resized_pexels-christian-heitz_4K,24,8.83261,287,361.202,24.109
resized_pexels-christian-heitz_4K,32,8.82051,287,361.202,24.109
resized_pexels-christian-heitz_8K,8,33.9471,335,361.202,25.5588
resized_pexels-christian-heitz_8K,16,33.8565,335,361.202,25.5588
resized_pexels-christian-heitz_8K,24,33.3043,335,361.202,25.5588
resized_pexels-christian-heitz_8K,32,33.3982,335,361.202,25.5588
resized_pexels-christian-heitz_16K,8,125.466,527,361.202,26.2738
resized_pexels-christian-heitz_16K,16,112.903,527,361.202,26.2738
resized_pexels-christian-heitz_16K,24,113.576,527,361.202,26.2738
resized_pexels-christian-heitz_16K,32,115.949,527,361.202,26.2738

Image,BlockSize,Time_ms,GPU_Used_Mem[MB],PSNR,PSNR_Filtered
image_4K_noise50,8,14.8231,287,26.3601,23.5988
image_4K_noise50,16,9.68525,287,26.3601,23.5988
image_4K_noise50,24,9.79747,287,26.3601,23.5988
image_4K_noise50,32,9.56621,287,26.3601,23.5988
image_4K_noise75,8,8.65834,287,21.2626,22.5861
image_4K_noise75,16,8.54131,287,21.2626,22.5861
image_4K_noise75,24,8.69402,287,21.2626,22.5861
image_4K_noise75,32,8.76986,287,21.2626,22.5861
image_4K_noise90,8,8.69459,287,18.9769,21.71
image_4K_noise90,16,8.52358,287,18.9769,21.71
image_4K_noise90,24,9.8695,287,18.9769,21.71
image_4K_noise90,32,8.55638,287,18.9769,21.71

4 gpu
Image,BlockSize,Time_ms,GPU_Used_Mem[MB],PSNR,PSNR_Filtered
resized_pexels-christian-heitz_4K,8,20.7366,287,361.202,24.109
resized_pexels-christian-heitz_4K,16,9.40166,287,361.202,24.109
resized_pexels-christian-heitz_4K,24,8.32298,287,361.202,24.109
resized_pexels-christian-heitz_4K,32,8.54259,287,361.202,24.109
resized_pexels-christian-heitz_8K,8,30.6107,335,361.202,25.5588
resized_pexels-christian-heitz_8K,16,30.7287,335,361.202,25.5588
resized_pexels-christian-heitz_8K,24,29.8109,335,361.202,25.5588
resized_pexels-christian-heitz_8K,32,30.1786,335,361.202,25.5588
resized_pexels-christian-heitz_16K,8,113.137,527,361.202,26.2738
resized_pexels-christian-heitz_16K,16,112.535,527,361.202,26.2738
resized_pexels-christian-heitz_16K,24,113.241,527,361.202,26.2738
resized_pexels-christian-heitz_16K,32,118.568,527,361.202,26.2738

Image,BlockSize,Time_ms,GPU_Used_Mem[MB],PSNR,PSNR_Filtered
image_4K_noise50,8,21.7461,287,26.3601,23.5988
image_4K_noise50,16,9.99421,287,26.3601,23.5988
image_4K_noise50,24,9.47958,287,26.3601,23.5988
image_4K_noise50,32,8.44611,287,26.3601,23.5988
image_4K_noise75,8,8.64506,287,21.2626,22.5861
image_4K_noise75,16,8.36006,287,21.2626,22.5861
image_4K_noise75,24,8.50842,287,21.2626,22.5861
image_4K_noise75,32,8.54144,287,21.2626,22.5861
image_4K_noise90,8,8.65626,287,18.9769,21.71
image_4K_noise90,16,9.61296,287,18.9769,21.71
image_4K_noise90,24,8.48496,287,18.9769,21.71
image_4K_noise90,32,8.464,287,18.9769,21.71

5 gpu
