BlockSize,Time_ms,GPU_Used_Mem[MB],PSNR,PSNR_Filtered,GPU,Resolution
8,14.0502,287,361.202,24.109,1,4K
16,10.0261,287,361.202,24.109,1,4K
24,9.28355,287,361.202,24.109,1,4K
32,9.28502,287,361.202,24.109,1,4K
8,33.7841,335,361.202,25.5588,1,8K
16,32.3833,335,361.202,25.5588,1,8K
24,32.6401,335,361.202,25.5588,1,8K
32,33.1669,335,361.202,25.5588,1,8K
8,126.333,527,361.202,26.2738,1,16K
16,124.559,527,361.202,26.2738,1,16K
24,125.698,527,361.202,26.2738,1,16K
32,118.705,527,361.202,26.2738,1,16K
8,14.3364,287,361.202,24.109,2,4K
16,10.0215,287,361.202,24.109,2,4K
24,9.19891,287,361.202,24.109,2,4K
32,9.42624,287,361.202,24.109,2,4K
8,32.746,335,361.202,25.5588,2,8K
16,32.538,335,361.202,25.5588,2,8K
24,33.2349,335,361.202,25.5588,2,8K
32,32.5473,335,361.202,25.5588,2,8K
8,125.906,527,361.202,26.2738,2,16K
16,123.884,527,361.202,26.2738,2,16K
24,124.687,527,361.202,26.2738,2,16K
32,127.37,527,361.202,26.2738,2,16K
8,14.4354,287,361.202,24.109,3,4K
16,9.51229,287,361.202,24.109,3,4K
24,8.83261,287,361.202,24.109,3,4K
32,8.82051,287,361.202,24.109,3,4K
8,33.9471,335,361.202,25.5588,3,8K
16,33.8565,335,361.202,25.5588,3,8K
24,33.3043,335,361.202,25.5588,3,8K
32,33.3982,335,361.202,25.5588,3,8K
8,125.466,527,361.202,26.2738,3,16K
16,112.903,527,361.202,26.2738,3,16K
24,113.576,527,361.202,26.2738,3,16K
32,115.949,527,361.202,26.2738,3,16K
8,20.7366,287,361.202,24.109,4,4K
16,9.40166,287,361.202,24.109,4,4K
24,8.32298,287,361.202,24.109,4,4K
32,8.54259,287,361.202,24.109,4,4K
8,30.6107,335,361.202,25.5588,4,8K
16,30.7287,335,361.202,25.5588,4,8K
24,29.8109,335,361.202,25.5588,4,8K
32,30.1786,335,361.202,25.5588,4,8K
8,113.137,527,361.202,26.2738,4,16K
16,112.535,527,361.202,26.2738,4,16K
24,113.241,527,361.202,26.2738,4,16K
32,118.568,527,361.202,26.2738,4,16K
