BlockSize,Time_ms,GPU_Used_Mem[MB],PSNR,PSNR_Filtered,GPU,Noise
8,13.4778,287,26.3601,23.5988,1,50
16,9.40445,287,26.3601,23.5988,1,50
24,8.78307,287,26.3601,23.5988,1,50
32,9.32413,287,26.3601,23.5988,1,50
8,9.36006,287,21.2626,22.5861,1,75
16,8.68032,287,21.2626,22.5861,1,75
24,8.70554,287,21.2626,22.5861,1,75
32,8.74883,287,21.2626,22.5861,1,75
8,8.72899,287,18.9769,21.71,1,90
16,9.25069,287,18.9769,21.71,1,90
24,9.42064,287,18.9769,21.71,1,90
32,10.2035,287,18.9769,21.71,1,90
8,13.787,287,26.3601,23.5988,2,50
16,10.0793,287,26.3601,23.5988,2,50
24,9.23907,287,26.3601,23.5988,2,50
32,10.547,287,26.3601,23.5988,2,50
8,9.06304,287,21.2626,22.5861,2,75
16,9.37197,287,21.2626,22.5861,2,75
24,9.03104,287,21.2626,22.5861,2,75
32,9.40042,287,21.2626,22.5861,2,75
8,9.36416,287,18.9769,21.71,2,90
16,9.27078,287,18.9769,21.71,2,90
24,10.7347,287,18.9769,21.71,2,90
32,9.51034,287,18.9769,21.71,2,90
8,14.8231,287,26.3601,23.5988,3,50
16,9.68525,287,26.3601,23.5988,3,50
24,9.79747,287,26.3601,23.5988,3,50
32,9.56621,287,26.3601,23.5988,3,50
8,8.65834,287,21.2626,22.5861,3,75
16,8.54131,287,21.2626,22.5861,3,75
24,8.69402,287,21.2626,22.5861,3,75
32,8.76986,287,21.2626,22.5861,3,75
8,8.69459,287,18.9769,21.71,3,90
16,8.52358,287,18.9769,21.71,3,90
24,9.8695,287,18.9769,21.71,3,90
32,8.55638,287,18.9769,21.71,3,90
8,21.7461,287,26.3601,23.5988,4,50
16,9.99421,287,26.3601,23.5988,4,50
24,9.47958,287,26.3601,23.5988,4,50
32,8.44611,287,26.3601,23.5988,4,50
8,8.64506,287,21.2626,22.5861,4,75
16,8.36006,287,21.2626,22.5861,4,75
24,8.50842,287,21.2626,22.5861,4,75
32,8.54144,287,21.2626,22.5861,4,75
8,8.65626,287,18.9769,21.71,4,90
16,9.61296,287,18.9769,21.71,4,90
24,8.48496,287,18.9769,21.71,4,90
32,8.464,287,18.9769,21.71,4,90
