Image,BlockSize,Time_ms,GPU_Used_Mem[MB],PSNR,PSNR_Filtered
image_4K_noise50,8,13.787,287,26.3601,23.5988
image_4K_noise50,16,10.0793,287,26.3601,23.5988
image_4K_noise50,24,9.23907,287,26.3601,23.5988
image_4K_noise50,32,10.547,287,26.3601,23.5988
image_4K_noise75,8,9.06304,287,21.2626,22.5861
image_4K_noise75,16,9.37197,287,21.2626,22.5861
image_4K_noise75,24,9.03104,287,21.2626,22.5861
image_4K_noise75,32,9.40042,287,21.2626,22.5861
image_4K_noise90,8,9.36416,287,18.9769,21.71
image_4K_noise90,16,9.27078,287,18.9769,21.71
image_4K_noise90,24,10.7347,287,18.9769,21.71
image_4K_noise90,32,9.51034,287,18.9769,21.71
